Key,Name,Address Line 1,City,State,Zip,latitude,longitude,Address Validity,BI Qualification,BI Plan,BI Service Level,BI Availability,BI Reason,4G LTE,L600,L700,L1900,L2100,L2500,Covlall,5G,NR600,NR1900,NR2500,Roaming Only,Roaming,NearestSite,Tower Distance,DistToSite_Mi,DirectionDegrees,Technician Tablets,Fixed Wireless,Trucks,Hexbins,Sample Count,Avg Ookla Download (Mbps),Min Ookla Download (Mbps),Max Ookla Download (Mbps),Avg Ookla Upload (Mbps),Min Ookla Upload (Mbps),Max Ookla Upload (Mbps),Avg Ookla Latency (ms),Min Ookla Latency (ms),Max Ookla Latency (ms),Hexbins - VZ,Sample Count - VZ,Avg Ookla Download (Mbps) - VZ,Min Ookla Download (Mbps) - VZ,Max Ookla Download (Mbps) - VZ,Avg Ookla Upload (Mbps) - VZ,Min Ookla Upload (Mbps) - VZ,Max Ookla Upload (Mbps) - VZ,Avg Ookla Latency (ms) - VZ,Min Ookla Latency (ms) - VZ,Max Ookla Latency (ms) - VZ,Hexbins - AT&T,Sample Count - AT&T,Avg Ookla Download (Mbps) - AT&T,Min Ookla Download (Mbps) - AT&T,Max Ookla Download (Mbps) - AT&T,Avg Ookla Upload (Mbps) - AT&T,Min Ookla Upload (Mbps) - AT&T,Max Ookla Upload (Mbps) - AT&T,Avg Ookla Latency (ms) - AT&T,Min Ookla Latency (ms) - AT&T,Max Ookla Latency (ms) - AT&T
688,PAL301,3100 Hill Rd,Leary,PA,15129,40.277424,-79.988007,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A4J0343A,< 0.25 Mile,0.0,11,Yes,Yes,Yes,Nearby,3,601.7,582.0,627.5,57.4,48.0,71.8,21,17,24,,,,,,,,,,,,Nearby,5,925.4,566.5,1333.6,38.6,12.0,61.3,51,26,81
512,CAWEST01,22736 Vanowen Street,West Hills,CA,91307,34.193367,-118.622463,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,SV00404A,< 0.25 Mile,0.0,259,Yes,Yes,Yes,RU03101131,3,505.4,111.6,783.8,37.0,12.9,68.6,26,17,33,RU03101131,1,29.2,29.2,29.2,18.6,18.6,18.6,18,18,18,RU03101131,4,1085.7,733.9,1412.1,81.9,71.2,100.3,14,13,15
685,MNSTPA05,309 Como Avenue,St Paul,MN,55103,44.964016,-93.112956,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A1N0728A,< 0.25 Mile,0.0,43,Yes,Yes,Yes,Nearby,47,130.1,6.3,662.9,11.0,0.1,37.2,21,10,64,RX30038588,1,326.8,326.8,326.8,37.7,37.7,37.7,12,12,12,Nearby,5,175.8,14.2,536.2,109.1,0.1,536.4,43,2,78
980,CALOSA04,5701 S. Eastern Ave,Commerce,CA,90040,33.986901,-118.16214,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,LA03349A,< 0.25 Mile,0.0,214,Yes,Yes,Yes,RU03011288,29,480.2,0.9,1601.7,40.1,0.8,135.0,34,10,120,RU03011288,18,766.6,115.4,1564.8,51.4,10.1,105.7,21,12,39,RU03011288,7,201.6,47.3,505.8,21.3,1.9,43.8,26,14,31
399,MISOUT01,19200 W. 8 Mile Rd,Southfield,MI,48075,42.446082,-83.230464,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Vehicle,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,DE01303F,< 0.25 Mile,0.0,3,Yes,Yes,Yes,Nearby,8,179.5,0.0,436.7,11.5,0.1,25.1,16,11,25,Nearby,8,558.0,3.8,1154.2,27.9,0.8,52.3,18,12,29,Nearby,4,50.9,24.0,74.6,2.0,0.4,3.4,32,27,39
450,GAATLA09,207 Plant Atkinson,Atlanta,GA,30339,33.831676,-84.479818,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,9AT2141A,< 0.25 Mile,0.0,92,Yes,Yes,Yes,Nearby,29,585.3,0.0,1457.2,38.9,0.2,137.9,16,7,29,Nearby,17,388.2,0.6,968.3,15.6,0.3,51.0,36,12,209,PC67445764,2,184.3,89.2,279.3,24.4,8.7,40.1,19,17,20
26,TXHOUS09,1001 Fannin,Houston,TX,77002,29.7558,-95.3666,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A3E0307A,< 0.25 Mile,0.0,191,Yes,Yes,Yes,PC35046301,49,303.8,6.2,884.4,30.5,1.8,99.5,23,9,99,PC35046301,29,89.9,1.5,447.1,25.2,3.8,83.4,25,12,36,PC35046301,31,299.7,3.5,1272.4,31.9,0.1,188.4,27,5,97
1207,FLISLA01,86490 Overseas Hwy,Islamorada,FL,33036,24.958125,-80.574626,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,,No,6MM2080A,< 0.25 Mile,0.0,351,Yes,Yes,Yes,PB48506322,1,34.2,34.2,34.2,5.3,5.3,5.3,18,18,18,PB48506322,1,43.5,43.5,43.5,24.0,24.0,24.0,29,29,29,PB48506322,2,325.8,56.0,595.6,5.1,1.2,9.0,24,15,32
277,ILDOWN01,1501 Opus Place,Downers Grove,IL,60515,41.827541,-88.024341,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,CH85030A,< 0.25 Mile,0.0,196,Yes,Yes,Yes,Nearby,218,621.4,0.5,1871.5,57.0,0.0,158.0,19,9,143,PF26621152,2,265.9,29.8,502.0,58.8,24.7,92.9,16,15,17,PF26621152,1,243.6,243.6,243.6,50.5,50.5,50.5,22,22,22
536,FLDAVI03,2380 College Ave,Davie,FL,33317,26.088728,-80.234245,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,6FB1637S,< 0.25 Mile,0.1,234,Yes,Yes,Yes,Nearby,59,507.9,6.8,1457.4,22.9,0.6,74.0,22,7,112,PB56668473,1,782.1,782.1,782.1,56.2,56.2,56.2,15,15,15,Nearby,52,246.2,3.7,570.1,12.6,0.0,61.4,29,15,66
