LATITUDE,LONGITUDE,EMPLOYEES_HERE,SPEED
42.19525,-87.92982,518,N/A for Unlimited
42.355802,-84.027088,3,N/A for Unlimited
38.120894,-77.515372,6,Best
29.6988,-98.1018,57,Better
38.799412,-77.523743,47,N/A for Unlimited
35.461021,-94.283339,47,N/A for Unlimited
38.133,-77.5196,47,Best
40.463667,-122.304958,94,N/A for Unlimited
41.551372,-87.737864,2,Best
41.047524,-111.961673,3,Best
37.08767,-113.57632,19,N/A for Unlimited
29.736409,-98.072652,32,N/A for Unlimited
43.591156,-116.412566,40,N/A for Unlimited
28.057529,-82.311077,9,N/A for Unlimited
36.932619,-86.421764,48,N/A for Unlimited
34.220756,-83.874687,50,Better
35.76594,-80.86145,21,N/A for Unlimited
36.09375,-79.998433,21,Best
33.6227,-78.9702,21,N/A for Unlimited
35.008439,-82.026075,21,Better
36.932619,-86.421764,300,N/A for Unlimited
41.1378,-104.7042,23,N/A for Unlimited
35.2491,-101.9798,24,N/A for Unlimited
39.676508,-110.863248,11,N/A for Unlimited
45.325681,-122.770752,23,Good
44.150837,-92.533427,23,Best
36.013214,-114.950555,24,N/A for Unlimited
34.381277,-118.569461,23,N/A for Unlimited
44.124626,-93.244984,26,N/A for Unlimited
44.70383,-93.287598,21,Best
41.6775,-88.0955,21,N/A for Unlimited
37.624937,-97.346217,3,N/A for Unlimited
35.661148,-88.870087,17,Best
47.264443,-122.500495,23,Better
32.816477,-96.639594,22,N/A for Unlimited
42.284242,-122.830073,17,Better
39.772149,-105.142537,31,N/A for Unlimited
36.701502,-93.221919,11,N/A for Unlimited
34.049203,-117.31139,21,N/A for Unlimited
39.125046,-78.190472,22,Better
32.423385,-97.383878,19,Better
33.885392,-112.146724,11,Good
36.234464,-86.705484,46,Good
39.667281,-110.859655,10,N/A for Unlimited
32.805235,-97.428764,21,N/A for Unlimited
35.582503,-77.379352,2,Best
46.358125,-94.245282,21,Best
40.560535,-75.996364,14,Best
40.212672,-104.976987,10,Good
41.241221,-81.796134,14,Best
45.194994,-93.548298,11,N/A for Unlimited
29.736409,-98.072652,3,N/A for Unlimited
46.32666,-122.919424,22,N/A for Unlimited
38.795262,-121.216447,21,Better
38.224085,-122.125537,24,Good
33.518585,-117.16133,17,N/A for Unlimited
33.246059,-97.178498,26,N/A for Unlimited
43.180598,-76.114668,2,Best
26.658228,-81.796789,19,N/A for Unlimited
42.22148,-83.469058,24,Best
33.417095,-111.783738,16,N/A for Unlimited
34.264062,-119.264548,14,Best
33.138175,-117.172744,25,N/A for Unlimited
42.36064,-73.81679,18,N/A for Unlimited
37.087672,-113.57627,21,N/A for Unlimited
46.819823,-92.176817,11,Best
44.70383,-93.287598,86,Best
37.009338,-86.433501,22,N/A for Unlimited
35.582503,-77.379352,100,Best
35.655351,-77.349216,150,Best
45.541879,-122.414521,2,Best
45.498059,-122.914091,50,Better
42.046441,-87.754637,9,N/A for Unlimited
42.047184,-87.682119,9,N/A for Unlimited
42.185453,-87.800779,9,N/A for Unlimited
41.946717,-87.663694,9,N/A for Unlimited
35.690932,-82.05865,282,Best
32.95569,-80.044413,64,N/A for Unlimited
45.070598,-93.442035,60,N/A for Unlimited
45.017595,-93.459793,10,Better
40.213536,-104.978579,50,Good
38.732448,-104.738353,10,N/A for Unlimited
39.728297,-105.179821,40,Best
36.134249,-95.865097,82,N/A for Unlimited
35.303972,-119.037991,2,Better
35.351165,-119.002867,20,Best
34.382358,-118.568304,25,Better
34.241018,-119.19493,30,Best
38.726194,-121.286598,49,Best
45.0305,-93.094271,80,Better
44.13057,-123.51964,71,N/A for Unlimited
42.195429,-87.929826,176,N/A for Unlimited
42.359318,-122.877553,48,N/A for Unlimited
34.047729,-117.312146,1,Best
41.486384,-90.711474,75,Best
35.069975,-78.968463,24,N/A for Unlimited
39.7409,-89.698324,30,N/A for Unlimited
30.461724,-88.969673,82,N/A for Unlimited
34.075383,-83.899051,30,Good
36.973143,-86.475283,36,Better
43.80896,-70.417043,48,Best
43.326544,-96.798167,24,Best
28.6691,-82.139427,2,N/A for Unlimited
37.724747,-77.451339,2,N/A for Unlimited
39.656944,-104.886468,1,N/A for Unlimited
44.299343,-84.691099,59,N/A for Unlimited
43.537469,-96.778083,36,N/A for Unlimited
37.987368,-77.734608,24,N/A for Unlimited
35.16733,-101.867719,20,N/A for Unlimited
42.179424,-87.928081,341,Best
29.217968,-82.147417,11,Best
39.7409,-89.698324,1,N/A for Unlimited
45.235245,-93.031154,34,N/A for Unlimited
35.025902,-94.64685,34,N/A for Unlimited
46.819823,-92.176817,1,Best
34.947731,-78.927434,52,Better
36.232648,-86.70314,19,Better
36.232711,-86.704864,6,Better
35.949942,-115.178817,7,Best
42.051205,-87.989847,10,N/A for Unlimited
42.199249,-87.858569,28,N/A for Unlimited
43.80896,-70.417043,15,Best
27.917292,-81.728761,2,N/A for Unlimited
42.179424,-87.928081,1,Best
48.139965,-122.180369,81,N/A for Unlimited
32.692311,-85.149836,5,Best
41.699573,-85.877569,30,N/A for Unlimited
41.662518,-85.990667,77,N/A for Unlimited
32.246568,-95.305087,36,N/A for Unlimited
37.892273,-121.280978,24,Best
37.12784,-121.629356,24,Better
35.303972,-119.037991,32,Better
42.195429,-87.929826,64,N/A for Unlimited
35.360429,-80.692763,341,Best
34.220756,-83.874687,40,Better
33.853566,-84.033999,90,Best
42.179424,-87.928081,1,Best
42.179424,-87.928081,26,Best
34.989007,-85.197216,25,Best
42.82767,-85.670413,212,Best
34.239972,-119.177305,8,N/A for Unlimited
41.412472,-85.691048,1,N/A for Unlimited
36.932619,-86.421764,204,N/A for Unlimited
43.385974,-87.926598,11,Best
30.534446,-87.707089,11,N/A for Unlimited
28.024602,-82.242482,11,Better
39.859449,-84.917906,13,Best
30.483084,-90.54242,3,N/A for Unlimited
44.297762,-84.693118,7,N/A for Unlimited
30.421174,-81.658072,13,Best
32.652698,-83.74502,11,Best
35.025902,-94.64685,6,N/A for Unlimited
35.76594,-80.86145,26,N/A for Unlimited
35.39987,-82.51542,11,N/A for Unlimited
40.333478,-76.73376,27,Best
31.219856,-85.433408,17,Good
30.174879,-82.68763,3,Best
30.50099,-84.451114,11,Best
43.109124,-76.283007,13,Best
28.334188,-81.49035,31,Best
43.630284,-116.640954,7,N/A for Unlimited
40.212672,-104.976987,13,Good
34.989064,-85.194781,26,Best
29.929115,-81.416673,31,Best
36.00468,-83.76966,3,N/A for Unlimited
37.27069,-93.69975,11,N/A for Unlimited
39.859449,-84.917906,26,Best
34.075383,-83.899051,5,Good
39.803275,-105.060634,10,Better
48.485507,-122.334192,7,Better
44.13057,-123.051964,11,N/A for Unlimited
39.859449,-84.917906,3,Best
37.092143,-121.599445,11,Best
33.613843,-85.77287,7,N/A for Unlimited
36.09375,-79.998433,11,Best
32.165358,-110.918557,3,N/A for Unlimited
34.053472,-81.126185,30,Best
44.181915,-103.328496,7,N/A for Unlimited
33.875205,-118.014129,12,N/A for Unlimited
43.387883,-112.11844,31,N/A for Unlimited
36.713132,-86.518076,11,Better
39.727899,-105.179925,30,Best
30.458956,-88.968562,6,N/A for Unlimited
33.159229,-86.771752,11,N/A for Unlimited
29.014554,-82.013439,12,N/A for Unlimited
35.464196,-97.63726,27,Best
42.826259,-85.668202,26,Best
35.949942,-115.178817,25,Best
26.658228,-81.796789,27,N/A for Unlimited
43.244213,-71.407557,7,N/A for Unlimited
31.9808,-106.5962,13,N/A for Unlimited
35.01072,-82.02662,26,Better
39.755508,-76.952607,50,N/A for Unlimited
34.093976,-84.530857,12,Best
41.950189,-74.029063,7,N/A for Unlimited
35.854302,-83.962634,11,Better
40.492441,-79.692716,3,Best
35.303972,-119.037991,23,Better
36.923748,-86.423102,26,Best
32.608401,-97.322799,3,N/A for Unlimited
39.767956,-75.354388,6,N/A for Unlimited
29.775454,-95.855603,28,Best
42.964697,-77.844,3,N/A for Unlimited
29.021564,-82.01748,3,Better
40.049123,-74.220085,14,Good
45.541879,-122.414521,15,Best
45.194994,-93.548298,6,N/A for Unlimited
43.994863,-71.063346,3,N/A for Unlimited
33.614465,-96.60724,3,Best
41.233771,-95.875919,25,N/A for Unlimited
0,0,12,N/A for Unlimited
40.979701,-81.486423,10,Good
45.498059,-122.914091,7,Better
0,0,10,N/A for Unlimited
32.109323,-81.236108,7,Best
30.211447,-81.736305,22,N/A for Unlimited
37.358733,-79.962303,7,N/A for Unlimited
40.513328,-111.889526,11,Better
35.186008,-118.914705,30,N/A for Unlimited
35.680899,-78.533666,21,Best
42.264562,-88.175865,13,Better
34.785142,-92.140247,10,N/A for Unlimited
38.824494,-104.783517,27,N/A for Unlimited
44.206185,-123.203971,26,Best
34.382358,-118.568304,3,Better
38.392326,-121.93177,26,N/A for Unlimited
42.22148,-83.469058,3,Best
29.735258,-98.071543,26,N/A for Unlimited
42.022833,-71.610542,3,Better
33.417095,-111.783738,52,N/A for Unlimited
33.644149,-78.97282,26,N/A for Unlimited
39.611614,-86.075146,52,N/A for Unlimited
41.047524,-111.961673,20,Best
39.033946,-94.295177,8,N/A for Unlimited
42.935136,-74.246743,2,Best
38.726194,-121.286598,14,Best
40.462362,-122.303499,17,Best
36.258974,-94.149076,11,Good
47.666243,-117.139827,13,N/A for Unlimited
41.640182,-86.14839,3,N/A for Unlimited
42.179424,-87.928081,10,Best
30.40524,-86.962893,36,N/A for Unlimited
33.613843,-85.77287,12,N/A for Unlimited
33.159344,-86.772454,9,N/A for Unlimited
26.658228,-81.796789,10,N/A for Unlimited
30.50099,-84.451114,11,Best
30.40524,-86.962893,6,N/A for Unlimited
31.219542,-85.433392,12,Good
38.726194,-121.286598,58,Best
35.060308,-106.805859,26,N/A for Unlimited
43.094289,-77.888215,37,N/A for Unlimited
42.345135,-77.334719,42,Better
40.330765,-76.744399,42,Best
39.767956,-75.354388,35,N/A for Unlimited
43.20533,-77.478383,9,Best
43.148221,-77.713168,56,Better
42.964697,-77.844,35,N/A for Unlimited
42.179424,-87.928081,78,Best
45.017595,-93.459793,713,Better
48.11154,-123.412378,7,N/A for Unlimited
